Group hierarchy,Region,Description,Service,Upfront,Monthly,First 12 months total,Currency,Configuration summary
My Estimate,US East (N. Virginia),,Amazon Virtual Private Cloud (VPC),0,987.3,11847.6,USD,Number of NAT Gateways (2)
My Estimate,US East (N. Virginia),s3,S3 Standard,0,263.44,3161.28,USD,S3 Standard storage (10 TB per month)
My Estimate,US East (N. Virginia),s3,Data Transfer,0,0,0,USD,"DT Inbound: Not selected (0 TB per month), DT Outbound: Amazon CloudFront (10 TB per month)"
My Estimate,US East (N. Virginia),,Amazon EC2,0,886.94,10643.28,USD,"Operating system (Linux), Quantity (8), Pricing strategy (On-Demand Instances), Storage amount (1 TB), Instance type (t2.micro)"
My Estimate,US East (N. Virginia),,Amazon RDS for SQL server,0,3060.54,36726.48,USD,"Storage for each RDS instance (General Purpose SSD (gp2)), Storage amount (1 TB), Number of nodes (2), Instance type (db.m4.large), Deployment option (Multi-AZ), License (License included), Database edition (Standard), Pricing strategy (Reserved 1yr No Upfront), Additional backup storage (1 TB)"
My Estimate,US East (N. Virginia),,Application Load Balancer,0,1000.1,12001.2,USD,Number of Application Load Balancers (4)
,,,,,,,,
Changes Made:,,,,,,,,
"1. RDS to 1 year reserved from on-demand
2. EC2 instances (web servers from 16 to 8)",,,,,,,,
Acknowledgement,,,,,,,,
"* AWS Pricing Calculator provides only an estimate of your AWS fees and doesn't include any taxes that might apply. Your actual fees depend on a variety of factors, including your actual usage of AWS services.",,,,,,,,
